CODE_FONCTION,LIBELLE CODE_FONCTION
A,Acaricide
B,Biocide
BF,"Biocide, Fongicide"
F,Fongicide
FA,"Fongicide, Acaricide"
FHM,"Fongicide, Herbicide, Mollusticide"
FN,"Fongicide, N̩maticide"
G,Graminicide
H,Herbicide
I,Insecticide
IA,"Insecticide, Acaricide"
IAFH,"Insecticide, Acaricide, Fongicide, Herbicide"
IAM,"Insecticide, Acaricide, Mollusticide"
IAN,"Insecticide, Acaricide, N̩maticide"
IM,"Insecticide, Mollusticide"
IN,"Insecticide, N̩maticide"
Ireg,"Insecticide, R̩gulateur de croissance"
M,Mollusticide
N,N̩maticide
R,Rodenticide
Reg,R̩gulateur de croissance
RepO,R̩pulsif
HFNI,"Herbicide, Fongicide, N̩maticide, Insecticide"
HG,"Herbicide, Graminicide"
