ï»¿Cd Comite,Cd Etat,CD_STATION,Cd Type Pe,Code,GÃ©omÃ©trie,Lb Comite,Lb Etat,Lb Type Pe,Necessaire,NID,NOM,Nombre d'enregistrements,Type,VID,lat,long
,,06741X0134/SCE,,,,,,,,,,1,,,"46,007449235","4,766516556"
,,06991X0001/S,,,,,,,,,,1,,,"45,836094969","5,074472628"
,,06262X0007/F,,,,,,,,,,1,,,"46,408834003","5,201928748"
,,06262X0009/163A,,,,,,,,,,1,,,"46,405911711","5,205587296"
,,06521X0019/SCE,,,,,,,,,,1,,,"46,270739998","5,452861669"
,,06522X0009/F,,,,,,,,,,1,,,"46,188740910","5,561193347"
,,06277X0076/F1,,,,,,,,,,1,,,"46,299741161","5,609335524"
,,06277X0084/SO,,,,,,,,,,1,,,"46,308666557","5,661173046"
,,07011X0108/PZ,,,,,,,,,,1,,,"45,814152381","5,745249190"
,,07015X0010/P,,,,,,,,,,1,,,"45,785000557","5,772809394"
,,07015X0009/F,,,,,,,,,,1,,,"45,793045670","5,781880867"
,,07011X0009/F,,,,,,,,,,1,,,"45,844201357","5,788504608"
,,06284X1014/D,,,,,,,,,,1,,,"46,343946301","6,008515190"
,,06284X1015/A,,,,,,,,,,1,,,"46,368972396","6,027273852"
,,06288X0075/153A,,,,,,,,,,1,,,"46,315486008","6,053777783"
,,06288X0076/153C,,,,,,,,,,1,,,"46,303073204","6,062291769"
,,06291X0007/HY,,,,,,,,,,1,,,"46,361167822","6,123648455"
,,06295X0006/F2,,,,,,,,,,1,,,"46,370957056","6,126983022"
,,06291X0005/143B2,,,,,,,,,,1,,,"46,361934125","6,145962508"
,,06291X0008/143C,,,,,,,,,,1,,,"46,372773118","6,150918943"
