CD_STATION,NUM_COM,NOM_COM,NUM_DEP,codagence,ALTITUDE,PROFONDEUR_MAXI_POINT,Unité_coord_fictifs,X_FICT_L93,Y_FICT_L93,CD_ME_v2,CD_ME_niv1_surf,reseau2009,reseau2010,reseau2011,reseau2012,reseau2013,reseau2014,fi_ma_2007,fi_ma_2008,fi_ma_2009,fi_ma_2010,fi_ma_2011,fi_ma_2012,fi_ma_2013,fi_ma_2014,Unnamed: 26
06521X0019/SCE,01125,CORVEISSIAT,01,AERM&C,459,,01125_ _FRDG140,"888869,8607","6577473,549",,DG140,Hors RCS et RCO,horsRCSRCODRIRE,,,,,oui,oui,oui,,,,,,
07015X0009/F,01133,CRESSIN-ROCHEFORT,01,AERM&C,229,15.2,01133_FRDG511_FRDG330,"916062,9395","6525297,883",DG330,DG330,Hors RCS et RCO,,,,,,oui,,,,,,,,
07015X0010/P,01133,CRESSIN-ROCHEFORT,01,AERM&C,"229,8",16,01133_FRDG511_FRDG330,"915390,0333","6524380,237",DG330,DG330,Hors RCS et RCO,horsRCSRCODRIRE,,,,,,oui,,,,,,,
07011X0009/F,01138,CULOZ,01,AERM&C,236,17,01138_FRDG511_FRDG330,"916376,604","6530993,354",DG330,DG330,Hors RCS et RCO,,,,,,oui,oui,oui,,,,,,
06991X0001/S,01142,DAGNEUX,01,AERM&C,196,22,01142_FRDG240_FRDG390,"861009,2195","6528387,253",DG390,DG390,RCO Seul,RCOseul,RCOseul,RCOseul,RCOseul,RCOseul,,,,oui,oui,oui,oui,oui,
06291X0007/HY,01143,DIVONNE-LES-BAINS,01,AERM&C,570,,01143_FRDG208_FRDG517,"940099,1051","6589331,693",,DG517,Hors RCS et RCO,,,,,,oui,,,,,,,,
06291X0008/143C,01143,DIVONNE-LES-BAINS,01,AERM&C,"490,8",,01143_FRDG208_FRDG517,"942142,7271","6590702,757",DG517,DG517,Hors RCS et RCO,,,,,,,oui,,,,,,,
06291X0005/143B2,01143,DIVONNE-LES-BAINS,01,AERM&C,640,,01143_FRDG208_FRDG517,"941809,9798","6589484,818",DG517,DG517,Hors RCS et RCO,,,,,,oui,,oui,,,,,,
06295X0006/F2,01143,DIVONNE-LES-BAINS,01,AERM&C,490,199,01143_FRDG208_FRDG517,"940312,2425","6590428,113",DG208,DG517,RCS,RCSseul,RCSseul,RCSseul,RCSseul,RCSseul,oui,,,,,,oui,,
06277X0076/F1,01148,DORTAN,01,AERM&C,305,20.7,01148_ _FRDG149,"900807,6543","6581078,64",DG149,DG149,Hors RCS et RCO,,,,,,oui,,oui,,,,,,
06277X0084/SO,01148,DORTAN,01,AERM&C,385,,01148_ _FRDG149,"904762,0406","6582202,401",DG149,DG149,RCS,RCSseul,RCSseul,RCSseul,RCSseul,RCSseul,oui,,,,,,oui,,
06288X0076/153C,01153,ECHENEVEX,01,AERM&C,580,,01153_FRDG208_FRDG517,"935635,4542","6582700,233",DG517,DG517,Hors RCS et RCO,,,,,,,oui,oui,,,,,,
06288X0075/153A,01153,ECHENEVEX,01,AERM&C,520,,01153_FRDG231_FRDG517,"934927,3545","6584052,305",DG517,DG517,Hors RCS et RCO,,,,,,oui,,oui,,,,,,
06741X0134/SCE,01157,FAREINS,01,AERM&C,193,,01157_FRDG177_FRDG525,"836686,0163","6546830,102",DG177,DG525,RCO Seul,RCOseul,RCOseul,RCOseul,RCOseul,RCOseul,,,oui,oui,oui,oui,oui,oui,
07011X0108/PZ,01162,FLAXIEU,01,AERM&C,231,,01162_FRDG511_FRDG330,"913137,5136","6527540,805",DG330,DG330,RCS,RCSseul,RCSseul,RCSseul,RCSseul,RCSseul,oui,oui,oui,oui,oui,oui,oui,oui,
06262X0009/163A,01163,FOISSIAT,01,AERM&C,192,,01163_FRDG212_FRDG505,"869415,7723","6591917,27",DG505,DG505,Hors RCS et RCO,,,,,,oui,,oui,,,,,,
06262X0007/F,01163,FOISSIAT,01,AERM&C,189,10.5,01163_FRDG212_FRDG505,"869125,7758","6592233,833",DG505,DG505,Hors RCS et RCO,,,,,,oui,,oui,,,,,,
06522X0009/F,01170,BEARD-GEOVREISSIAT,01,AERM&C,475,48.5,01170_ _FRDG149,"897503,826","6568637,035",DG149,DG149,Hors RCS et RCO,,,,,,oui,,oui,,,,,,
06284X1015/A,01173,GEX,01,AERM&C,820,,01173_ _FRDG148,"932661,7424","6589909,255",DG148,DG148,Hors RCS et RCO,,,,,,oui,,,,,,,,
06284X1014/D,01173,GEX,01,AERM&C,930,,01173_ _FRDG148,"931326,6061","6587076,942",DG148,DG148,Hors RCS et RCO,,,,,,,oui,,,,,,,
